date,equity,cash,invested,open_positions,drawdown,strategy_id
2020-06-09,162500.09410685932,144041.17605161504,18458.918055244292,2,0.02438817579728118,10
2020-06-10,161862.2831735193,151968.07731537672,9894.205858142579,1,0.02821744058381788,10
2020-06-11,160420.19874066015,131279.7803452026,29140.41839545755,3,0.036875371718743104,10
2020-06-12,160511.65369721528,131279.7803452026,29231.873352012684,3,0.03632629796289374,10
2020-06-15,161915.2291835486,131279.7803452026,30635.448838346012,3,0.027899565362188985,10
2020-06-16,162416.50191048678,131279.7803452026,31136.721565284177,3,0.024890043415514665,10
2020-06-17,163213.5438716819,131279.7803452026,31933.763526479317,3,0.020104793499189467,10
2020-06-18,163374.55043672322,142085.12872099728,21289.42171572595,2,0.019138148467431657,10
2020-06-19,163522.2676156479,139190.37316588787,24331.894449760042,3,0.018251289741663682,10
2020-06-22,164414.52273707063,139190.37316588787,25224.14957118277,3,0.012894402710613642,10
2020-06-23,164435.2829629888,139190.37316588787,25244.909797100936,3,0.012769763263540025,10
2020-06-24,163742.54434141042,150111.07562331267,13631.468718097758,2,0.016928800795231087,10
2020-06-25,164328.3723802692,147294.30294061307,17034.069439656134,3,0.013411628914184258,10
2020-06-26,164417.19080385356,150213.24992641166,14203.940877441899,2,0.01287838427372903,10
2020-06-29,164370.95211443803,147384.87167270097,16986.080441737045,3,0.013155990341450865,10
2020-06-30,164609.00290791003,147384.87167270097,17224.131235209054,3,0.011726790129914944,10
2020-07-01,165700.27906283125,147384.87167270097,18315.407390130276,3,0.005175028261324892,10
2020-07-02,165417.33698632862,159572.14559016185,5845.191396166768,2,0.00687374503387588,10
2020-07-06,165782.13345236372,149157.31101636184,16624.822436001876,3,0.004683594021057573,10
2020-07-07,165147.08397446416,155117.07805193777,10030.00592252639,1,0.008496279687474212,10
2020-07-08,165664.22408792574,139293.07453915235,26371.149548773396,3,0.005391493734975713,10
2020-07-09,165467.37125252993,139293.07453915235,26174.29671337759,3,0.006573351228016247,10
2020-07-10,165787.1869874036,147694.44308478612,18092.743902617498,2,0.004653253801465496,10
2020-07-13,164614.0476837954,136700.19301855133,27913.854665244056,3,0.011696502498198444,10
2020-07-14,165121.19021269545,136700.19301855133,28420.997194144125,3,0.008651739659934436,10
2020-07-15,167608.8946190565,136700.19301855133,30908.701600505152,3,0.0,10
2020-07-16,167358.85394317596,148932.0692188194,18426.78472435655,2,0.0014918103030798478,10
2020-07-17,167225.8810748399,139580.35852320443,27645.5225516355,3,0.0022851624019542354,10
2020-07-20,168081.19395917808,139580.35852320443,28500.835435973644,3,0.0,10
2020-07-21,168818.0596661837,149297.90119954012,19520.15846664356,2,0.0,10
2020-07-22,168649.6771147442,146204.7331552028,22444.94395954143,2,0.0009974202509639074,10
2020-07-23,168683.0556098568,130712.39253848468,37970.66307137211,3,0.0007997015046485716,10
2020-07-24,168613.1744196794,130712.39253848468,37900.78188119469,3,0.0012136453108715767,10
2020-07-27,169069.38164483453,130712.39253848468,38356.989106349836,3,0.0,10
2020-07-28,168326.9167739616,130712.39253848468,37614.52423547691,3,0.0043914803712516,10
2020-07-29,169206.62733407493,130712.39253848468,38494.23479559024,3,0.0,10
