strategy_id,symbol,sector,entry_date,exit_date,days_held,ml_score,predicted_return,predicted_mfe,win_probability,allocation,pnl_pct,pnl_dollars,exit_reason,hwm
1,GE,Industrials,2018-12-26,2019-01-09,9,95.0,0.038812004360233965,0.16578743044760624,0.8374,26331.597503641606,0.1506808842288392,3967.6683950066126,pct_trail,0.1826808842288392
1,NFLX,Communication Services,2019-01-02,2019-01-18,12,95.1,0.04299086003169051,0.11119257260166583,0.8374,25532.920017331602,0.2929645072106404,7480.2393305262485,pct_trail,0.3249645072106404
1,AMP,Financials,2019-01-03,2019-01-18,11,95.0,0.03778890326602765,0.10273605733804743,0.8374,25452.04962258731,0.15033217848636427,3826.2620667065958,hold_expiry,0.15233217848636427
1,NFLX,Communication Services,2019-01-18,2019-01-23,2,91.5,0.0326993661816486,0.11590455020512958,0.8116,25638.822434139525,-0.032,-820.4423178924649,pct_trail,0.0
1,NFLX,Communication Services,2019-01-23,2019-02-07,11,93.4,0.035233258750858275,0.0950459350968201,0.8116,25507.566256634742,0.07303431783595785,1862.9277012088153,pct_trail,0.10503431783595785
1,NVDA,Information Technology,2019-01-28,2019-02-07,8,92.8,0.03439197412667658,0.11188418898145967,0.8116,25680.813707584864,0.07661051031741398,1967.4202435045165,pct_trail,0.10861051031741398
1,PCG,Utilities,2019-03-05,2019-03-19,10,90.2,0.03094970991635936,0.1582895126653839,0.8116,26120.353796687326,0.041181002194100175,1075.6623470120537,pct_trail,0.07318100219410018
1,PCG,Utilities,2019-03-19,2019-03-25,4,93.6,0.03540228898084227,0.19169527002783998,0.8116,26292.440639205768,-0.013646495544620245,-358.79967404011376,pct_trail,0.018353504455379754
1,PCG,Utilities,2019-03-25,2019-03-28,3,91.6,0.032859353501449085,0.15981820801665245,0.8116,26163.09642542223,-0.032,-837.2190856135114,pct_trail,0.0
1,PCG,Utilities,2019-03-28,2019-04-09,8,92.0,0.03339799261922732,0.14461276778288934,0.8116,26168.644500559618,0.10887099714764628,2849.0064207781957,pct_trail,0.14087099714764628
1,HAL,Energy,2019-03-22,2019-04-18,19,91.3,0.03239703568415282,0.09957228726760377,0.8116,26369.641404076832,0.08153510895883787,2150.051585086887,hold_expiry,0.10720699773904396
1,NVDA,Information Technology,2019-05-07,2019-05-13,4,94.0,0.03596971311714471,0.1089082149725111,0.8116,26900.859273242884,-0.027321120137805827,-734.9616080144767,pct_trail,0.004678879862194174
1,NFLX,Communication Services,2019-05-08,2019-05-13,3,91.4,0.0324932853127383,0.09109096770612327,0.8116,26920.995576639918,-0.032,-861.4718584524774,pct_trail,0.0
1,NVDA,Information Technology,2019-05-13,2019-05-17,4,90.6,0.03146883536625899,0.1092527859402289,0.8116,26645.458314663094,-0.009340352483405671,-248.8779727408457,pct_trail,0.022659647516594328
1,NVDA,Information Technology,2019-05-20,2019-05-23,3,92.7,0.034271844861972905,0.10982063562656125,0.8116,26605.642265862713,-0.010199102472184555,-271.3536718078183,pct_trail,0.021800897527815444
1,TSLA,Consumer Discretionary,2019-05-21,2019-05-23,2,90.8,0.0318204622555643,0.10690522453729683,0.8116,26698.436249730148,-0.032,-854.3499599913648,pct_trail,0.0
1,NVDA,Information Technology,2019-05-23,2019-05-29,3,94.3,0.036400378628944026,0.09958444960420401,0.8116,26425.549707871844,-0.032,-845.617590651899,pct_trail,0.0
1,TSLA,Consumer Discretionary,2019-05-24,2019-06-03,5,92.7,0.0342126740580895,0.11683709546043593,0.8116,26363.336342095106,-0.032,-843.6267629470434,pct_trail,0.0
1,DXCM,Health Care,2019-05-28,2019-06-06,7,90.0,0.030688442668483043,0.09001177771209137,0.7975,25162.170970322702,0.001468643857178516,36.95426782884002,pct_trail,0.033468643857178515
1,TSLA,Consumer Discretionary,2019-06-03,2019-06-12,7,95.0,0.03868308447897608,0.12480766858825147,0.8374,28082.771285064704,0.1810530621139355,5084.471733806264,pct_trail,0.2130530621139355
1,XYZ,Unknown,2019-05-31,2019-06-24,16,94.0,0.03593932182745134,0.10608942203446142,0.8116,26188.90775084218,0.1716884584342211,4496.333199818118,hold_expiry,0.20129136400322833
1,NVDA,Information Technology,2019-08-01,2019-08-05,2,91.5,0.03267950027488427,0.10637821421484026,0.8116,27693.971057580497,-0.032,-886.2070738425759,pct_trail,0.0
1,EQT,Energy,2019-08-05,2019-08-07,2,90.2,0.030986474545245783,0.13256501858186392,0.8116,27552.193688893476,-0.032,-881.6701980445913,pct_trail,0.0
1,VTRS,Health Care,2019-08-05,2019-08-07,2,90.2,0.03094137005195357,0.12753111737324327,0.8116,27552.193688893476,-0.032,-881.6701980445913,pct_trail,0.0
1,NVDA,Information Technology,2019-08-05,2019-08-12,5,95.1,0.04364675285783513,0.12056590054573879,0.8374,29675.201654916895,0.017542214985452304,520.5687671672022,pct_trail,0.049542214985452304
1,NVDA,Information Technology,2019-08-12,2019-08-14,2,95.1,0.044986687015770147,0.11153057693616825,0.8374,29461.06031008987,-0.0016228771892525511,-47.81168274843854,pct_trail,0.030377122810747448
1,ALGN,Health Care,2019-08-12,2019-08-14,2,90.1,0.030817800966119305,0.1347659494906159,0.8116,27353.3723336729,-0.01908815672306316,-522.1254580094483,pct_trail,0.01291184327693684
1,AMZN,Consumer Discretionary,2019-08-12,2019-08-14,2,90.6,0.03151474474003158,0.0871363551767797,0.8116,27353.3723336729,-0.00991497658158355,-271.2080461157022,pct_trail,0.02208502341841645
1,MOS,Materials,2019-08-14,2019-08-20,4,90.8,0.03179057866979184,0.09913030938713374,0.8116,27218.804065376862,-0.014687197577136072,-399.7679531215445,pct_trail,0.017312802422863927
1,PCG,Utilities,2019-08-20,2019-08-22,2,91.0,0.032092042129269464,0.22096520045550153,0.8116,28033.577560098754,0.0186029547392417,521.5073745295389,pct_trail,0.0506029547392417
1,APA,Energy,2019-08-14,2019-08-23,7,92.1,0.03354263024393252,0.13875167496750007,0.8116,27218.804065376862,0.0586331948495831,1595.9254423378661,pct_trail,0.0906331948495831
1,NVDA,Information Technology,2019-08-14,2019-08-23,7,91.2,0.03235034893600685,0.1273483135760115,0.8116,27218.804065376862,0.11066173157386541,3012.079989244371,pct_trail,0.1426617315738654
1,PCG,Utilities,2019-08-23,2019-08-27,2,90.4,0.03121670684299741,0.2323189462431792,0.8116,27975.47911301596,0.03684637297605267,1030.7949375819574,pct_trail,0.06884637297605267
1,APA,Energy,2019-08-23,2019-09-03,6,90.8,0.03179299354788949,0.1405535999373847,0.8116,27975.47911301596,0.033250214469545486,930.1906803960708,pct_trail,0.06525021446954549
1,NTAP,Information Technology,2019-08-23,2019-09-13,14,90.0,0.030756099779619704,0.11413499972045243,0.8116,27975.47911301596,0.24321293306686442,6803.998329027415,hold_expiry,0.24521293306686442
