date,equity,drawdown,strategy_id
2020-02-06,365202.71461579774,0.002608612035327209,L1P5_skip_L
2020-02-07,362597.6112355021,0.009723311823355882,L1P5_skip_L
2020-02-10,365125.48310191964,0.002819536115950559,L1P5_skip_L
2020-02-11,372452.05494603876,0.0,L1P5_skip_L
2020-02-12,374565.1983435395,0.0,L1P5_skip_L
2020-02-13,372493.8982746044,0.005529878584810105,L1P5_skip_L
2020-02-14,369510.29920182796,0.0134953785457541,L1P5_skip_L
2020-02-18,370093.86694224796,0.011937391463663346,L1P5_skip_L
2020-02-19,368999.1729361371,0.014859964118442696,L1P5_skip_L
2020-02-20,372083.3339547442,0.0066259876779021796,L1P5_skip_L
2020-02-21,373828.1579736639,0.0019677225036791117,L1P5_skip_L
2020-02-24,367240.17097354523,0.019556081030453813,L1P5_skip_L
2020-02-25,364743.4238993413,0.026221801938977666,L1P5_skip_L
2020-02-26,362408.74825034186,0.03245483068624042,L1P5_skip_L
2020-02-27,355498.8854089379,0.05090252116032039,L1P5_skip_L
2020-02-28,355498.8854089379,0.05090252116032039,L1P5_skip_L
2020-03-02,355498.8854089379,0.05090252116032039,L1P5_skip_L
2020-03-03,355498.8854089379,0.05090252116032039,L1P5_skip_L
2020-03-04,355498.8854089379,0.05090252116032039,L1P5_skip_L
2020-03-05,346673.6820017304,0.07446371543633865,L1P5_skip_L
2020-03-06,352729.5821328871,0.05829590230810887,L1P5_skip_L
2020-03-09,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-03-10,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-03-11,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-03-12,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-03-13,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-03-16,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-03-17,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-03-18,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-03-19,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-03-20,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-03-23,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-03-24,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-03-25,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-03-26,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-03-27,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-03-30,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-03-31,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-04-01,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-04-02,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-04-03,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-04-06,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-04-07,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-04-08,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-04-09,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-04-13,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-04-14,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-04-15,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-04-16,350987.9178213192,0.0629457318151484,L1P5_skip_L
