strategy_id,category,ranking,threshold,exit,sizing,max_positions,concentration,total_return,annualized_return,max_drawdown,sharpe_ratio,win_rate,avg_win,avg_loss,profit_factor,total_trades,trades_per_year,worst_single_trade,longest_losing_streak,years_profitable,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,consistency_score,sharpe_norm,dd_norm,return_norm,weighted_score
153,ATR Stop,CW,90,EA15,SH,3,C1,1143.4701806472017,1.4117126434951106,0.29118983949551874,2.805429089914974,0.620253164556962,0.11330710068739169,-0.04219833304777023,5.473605036411993,474,59.25,-0.15272740281421415,11,8,0.7308822360427474,0.6366713748733639,0.7878366668120105,1.2522426741118338,0.7044418106364476,2.5234635488033827,3.6823459747892304,2.338979330786426,1.0,0.5852308699500496,0.5197135406627261,0.003431494343669431,0.650765149771608
72,Position Count,WP,85,EM,SK,6,C2,152.5967828092087,0.8762804995165792,0.1982608700628651,2.438430617663994,0.8173913043478261,0.06745231675736509,-0.08896697451960763,3.74434097239211,920,115.0,-0.6533746951843786,8,8,0.6693654848406687,0.7000984131129537,0.8038622254570873,1.63942984085794,0.41516037633358827,1.240903749831928,0.5202720903934586,1.2637216633125696,1.0,0.41599056386131517,0.7186497355384849,0.0004383931766726311,0.6477933470495266
69,Position Count,WP,85,EM,SH,4,C2,199.32023620746597,0.9396153076428435,0.16361959474189797,2.308712095288031,0.8129952456418383,0.06787438215054725,-0.08165966569894366,3.0352592824291404,631,78.875,-0.543278084920236,6,8,0.6815146776227488,0.6251171112720033,1.231180959591323,1.9937255909770792,0.8386734141655787,1.2215931951458372,0.4697406125040857,0.7764498804981868,1.0,0.3561712346482146,0.7928074878526434,0.0005795292927471788,0.6476912356264944
75,Position Count,WP,85,EM,SH,8,C2,245.29306183699637,0.9903594825030051,0.21554188029649782,2.49999753488168,0.8110749185667753,0.06992360558330891,-0.08228684508567385,3.2747110646687783,1228,153.5,-0.3768332135892436,11,8,0.6330340995263957,0.7619276461907112,0.8283647433392112,1.530460132595973,1.1708070845832106,1.6531740974897122,0.6723596240288907,0.8307720382632287,1.0,0.4443819733703315,0.6816556911573153,0.0007183980103271673,0.647534391275595
119,ATR Stop,WP,85,EA25,SH,3,C2,96.56354480785154,0.7728049121618932,0.1889912467161609,2.3939260863578284,0.6727272727272727,0.08034753778766018,-0.05030329195105184,3.133017502172253,440,55.0,-0.19582671480144404,9,8,0.5602577613957054,0.844623035457686,0.4006585581613247,1.5040329751559436,0.5835969044990112,1.0868375815792222,0.6802689235467874,0.753910613688588,1.0,0.3954674252923888,0.7384935324489977,0.00026913527710805676,0.646605933104463
100,Kelly Dive,PR,85,EM,SA,4,C2,3953.2428593174686,1.8160017306616298,0.2791663191864126,2.7133499552705627,0.8122977346278317,0.09873459066016559,-0.08592725388341162,11.720619499789223,618,77.25,-0.543278084920236,7,8,0.7162602580746786,0.19970092069880208,2.209468984390685,1.5175095977169293,1.0745207169170716,4.016641687046661,3.8900939074901926,3.3558072204172493,1.0,0.5427688377894666,0.5454526981494388,0.011918889304391464,0.6465705824729131
33,Growth,CR,85,EM,SA,4,C2,5528.164412374117,1.9365164497389302,0.2664710811138566,2.6590020429359327,0.8316993464052288,0.0998966625861362,-0.09265420828691809,6.909706138271818,612,76.5,-0.543278084920236,8,8,0.8667032865894186,0.3856003152879781,1.9546507773142947,2.1335587661960687,1.5986954309584043,3.970134500177231,3.869073496247105,2.3360738383214295,1.0,0.5177064519370635,0.5726298246215713,0.016676206988636113,0.6464540089568755
108,Aggressive,CR,80,EM,SH,8,CN,3357.004973876128,1.7590537861798627,0.23753818234464466,2.5554653651150416,0.8120481927710843,0.09749675337626279,-0.08489319669738034,4.186103015443979,1245,155.625,-0.3539092020021092,11,8,1.0323859429237405,0.49469972508316307,1.257029914700782,1.9240549298208922,1.6031493033274669,5.79345814755475,1.9390647246073685,1.9124029922488308,1.0,0.46996080618997416,0.6345674617546702,0.01011785163942232,0.645921371644341
103,Aggressive,CR,70,EM,SH,6,CN,1658.6916162109933,1.5264076343413038,0.25529380629226994,2.6239677882290735,0.8171368861024033,0.08879652196906813,-0.0911921321208364,4.057033672275696,957,119.625,-0.4620506815158899,7,8,1.1384344557864399,0.6322214914529565,0.9467736413754959,2.208616811709875,1.569019255751562,2.400147986434414,1.4997144598608072,2.1377842299175636,1.0,0.5015505046007904,0.5965573957079859,0.004987808080028195,0.6454472765037991
32,Growth,CR,85,EM,SH,4,C2,5279.229775410068,1.919655447037235,0.2664710811138564,2.6508928636137488,0.8284313725490197,0.09926437017934886,-0.0920943614097766,6.921258536018382,612,76.5,-0.543278084920236,8,8,0.8925166273338738,0.25957100154836854,1.9600804891172352,2.255328226865722,1.5717004511964126,4.013444388121894,3.8535431731577265,2.336421240268251,1.0,0.513966926858942,0.5726298246215715,0.01592425769417656,0.6454063352931764
107,Aggressive,PR,80,EM,SH,8,CN,6496.701444854159,1.9963667494118855,0.2796267921474566,2.689901765165563,0.8196850393700787,0.09938842343399214,-0.0794419155709281,8.279292003330177,1270,158.75,-0.33522901090748924,10,8,0.855720032827409,0.6221791991213335,1.5532317918103837,1.8485745923684216,1.023290334654825,5.672510473024766,4.986980781263088,2.511234878472521,1.0,0.5319557713310232,0.5444669480730898,0.019601837375445227,0.6448226080536907
123,ATR Stop,WP,85,EA25,SA,3,C2,86.71877436364429,0.7493897168996768,0.18875566263181648,2.37473853908522,0.6727272727272727,0.08034753778766018,-0.05030329195105184,3.138250215193259,440,55.0,-0.19582671480144404,9,8,0.545199355056081,0.6989562011155042,0.40023177129473386,1.4441763454544585,0.5894247922610589,1.1069852961993436,0.6763018260076912,0.7487942463527417,1.0,0.3866191422093802,0.7389978552839425,0.00023939747814235066,0.644490266230855
104,Aggressive,CR,70,ET,SH,8,CN,6668.443312228565,2.006153814697156,0.27488715593880486,2.648403271165138,0.7291910902696366,0.09433268647056532,-0.06515495479853105,4.444025633469468,1706,213.25,-0.304973235176625,16,8,0.9867197932051366,0.2894881287579276,1.6833073121690223,1.9765409055225307,1.2386161364421908,5.556612291631368,5.312632703534567,2.2522435005709207,1.0,0.5128188583521309,0.5546132479642972,0.020120612816164642,0.642145456103317
142,ATR Stop,CW,85,EA20,SH,3,C2,1751.292057141833,1.54361168583285,0.2297246572014903,2.494017763628697,0.6599099099099099,0.11798856438980317,-0.04703210921094425,4.596334493886353,444,55.5,-0.19813184418414598,7,8,0.7323331593554339,0.4919911780578412,1.9672127182925472,1.8938239717371914,0.43188264002334287,5.935429497704547,2.8086507109899053,0.9454831352421762,1.0,0.4416244187925475,0.6512941398835144,0.0052675234184551434,0.641455061187608
117,ATR Stop,WP,85,EA15,SH,3,C2,116.20740325084813,0.8139252260289667,0.24836921792057146,2.550293583140065,0.5824372759856631,0.07960609328055365,-0.03730077619448371,3.0886602646102546,558,69.75,-0.287316729025893,15,8,0.5907500560766059,0.3197562820313302,0.5055446148154104,1.370978694161899,0.8647221088240895,1.5323239016001708,0.8696351599830143,0.815773798744371,1.0,0.46757585357940673,0.6113810967579039,0.0003284728834645715,0.6392194536789522
